
Sync-Point 0, Time: 0, Systemstep: 0, Nsync-grv:      60000, Nsync-hyd:          0
Sync-Point 164, Time: 0.240234, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 165, Time: 0.241699, Systemstep: 0.00146484, Nsync-grv:      15499, Nsync-hyd:          0

Sync-Point 166, Time: 0.243164, Systemstep: 0.00146484, Nsync-grv:      32302, Nsync-hyd:          0

Sync-Point 167, Time: 0.244629, Systemstep: 0.00146484, Nsync-grv:      15498, Nsync-hyd:          0

Sync-Point 168, Time: 0.246094, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 169, Time: 0.247559, Systemstep: 0.00146484, Nsync-grv:      15497, Nsync-hyd:          0

Sync-Point 170, Time: 0.249023, Systemstep: 0.00146484, Nsync-grv:      32325, Nsync-hyd:          0

Sync-Point 171, Time: 0.250488, Systemstep: 0.00146484, Nsync-grv:      15484, Nsync-hyd:          0

Sync-Point 172, Time: 0.251953, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 173, Time: 0.253418, Systemstep: 0.00146484, Nsync-grv:      15461, Nsync-hyd:          0

Sync-Point 174, Time: 0.254883, Systemstep: 0.00146484, Nsync-grv:      32394, Nsync-hyd:          0

Sync-Point 175, Time: 0.256348, Systemstep: 0.00146484, Nsync-grv:      15457, Nsync-hyd:          0

Sync-Point 176, Time: 0.257812, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 177, Time: 0.259277, Systemstep: 0.00146484, Nsync-grv:      15449, Nsync-hyd:          0

Sync-Point 178, Time: 0.260742, Systemstep: 0.00146484, Nsync-grv:      32435, Nsync-hyd:          0

Sync-Point 179, Time: 0.262207, Systemstep: 0.00146484, Nsync-grv:      15483, Nsync-hyd:          0

Sync-Point 180, Time: 0.263672, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 181, Time: 0.265137, Systemstep: 0.00146484, Nsync-grv:      15498, Nsync-hyd:          0

Sync-Point 182, Time: 0.266602, Systemstep: 0.00146484, Nsync-grv:      32454, Nsync-hyd:          0

Sync-Point 183, Time: 0.268066, Systemstep: 0.00146484, Nsync-grv:      15536, Nsync-hyd:          0

Sync-Point 184, Time: 0.269531, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 185, Time: 0.270996, Systemstep: 0.00146484, Nsync-grv:      15551, Nsync-hyd:          0

Sync-Point 186, Time: 0.272461, Systemstep: 0.00146484, Nsync-grv:      32503, Nsync-hyd:          0

Sync-Point 187, Time: 0.273926, Systemstep: 0.00146484, Nsync-grv:      15562, Nsync-hyd:          0

Sync-Point 188, Time: 0.275391, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 189, Time: 0.276855, Systemstep: 0.00146484, Nsync-grv:      15550, Nsync-hyd:          0

Sync-Point 190, Time: 0.27832, Systemstep: 0.00146484, Nsync-grv:      32542, Nsync-hyd:          0

Sync-Point 191, Time: 0.279785, Systemstep: 0.00146484, Nsync-grv:      15560, Nsync-hyd:          0

Sync-Point 192, Time: 0.28125, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

