
Step(*): 0, t: 0, dt: 0, highest active timebin: 0  (lowest active: 0, highest occupied: 0)
Step: 106, t: 0.155273, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 107, t: 0.156738, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 108, t: 0.158203, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 109, t: 0.159668, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 110, t: 0.161133, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 111, t: 0.162598, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 112, t: 0.164062, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 113, t: 0.165527, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 114, t: 0.166992, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 115, t: 0.168457, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 116, t: 0.169922, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 117, t: 0.171387, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 118, t: 0.172852, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 119, t: 0.174316, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 120, t: 0.175781, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 121, t: 0.177246, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 122, t: 0.178711, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 123, t: 0.180176, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 124, t: 0.181641, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 125, t: 0.183105, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 126, t: 0.18457, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 127, t: 0.186035, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 128, t: 0.1875, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 129, t: 0.188965, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 130, t: 0.19043, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 131, t: 0.191895, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 132, t: 0.193359, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 133, t: 0.194824, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 134, t: 0.196289, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 135, t: 0.197754, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 136, t: 0.199219, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 137, t: 0.200684, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 138, t: 0.202148, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 139, t: 0.203613, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 140, t: 0.205078, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 141, t: 0.206543, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 142, t: 0.208008, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 143, t: 0.209473, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 144, t: 0.210938, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 145, t: 0.212402, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 146, t: 0.213867, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 147, t: 0.215332, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 148, t: 0.216797, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 149, t: 0.218262, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 150, t: 0.219727, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 151, t: 0.221191, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 152, t: 0.222656, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 153, t: 0.224121, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 154, t: 0.225586, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 155, t: 0.227051, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 156, t: 0.228516, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 157, t: 0.22998, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 158, t: 0.231445, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

